model,size_mb,train_s,thr_kmsg_s
LR,0.0,30.3,1530.4
RF,104.14,72.4,86.2
ET,174.12,87.5,89.0
XGB,2.41,23.5,577.9
LGBM,2.06,7.5,483.8
