acc,f1_macro,f1_weighted,precision_macro,recall_macro,pr_auc,roc_auc,fpr,confusion,per_class_recall,model,task,test_set,train_s,n_train
0.9493210680498376,0.9058263706352462,0.9486713709642196,0.916685618684246,0.8958484731090589,0.9244713491763596,0.9843432332814158,0.024275966021819768,"[[644736, 16041], [24077, 106757]]","{'Normal': np.float64(0.9757240339781802), 'Attack': np.float64(0.8159729122399376)}",LR,unified_binary,tow,31.4,500000
0.9400918592415859,0.4845604885992787,0.9110627412846144,0.47004592962079295,0.5,0.060123075882529006,0.501945367331586,0.0,"[[678108, 0], [43213, 0]]","{'Normal': np.float64(1.0), 'Attack': np.float64(0.0)}",LR,unified_binary,someip,31.4,500000
0.9228345740521544,0.8257690700423214,0.9128278193678473,0.9571238000456298,0.7668189154958074,0.966868777848916,0.9912579053102606,0.00013014980848304346,"[[660691, 86], [60999, 69835]]","{'Normal': np.float64(0.999869850191517), 'Attack': np.float64(0.5337679808000978)}",RF,unified_binary,tow,79.9,500000
0.9400779957882829,0.4845799180490179,0.9110585465415478,0.5117127911431393,0.5000034597897739,0.06931950668129036,0.545254301461303,1.6221604818111568e-05,"[[678097, 11], [43212, 1]]","{'Normal': np.float64(0.9999837783951819), 'Attack': np.float64(2.314118436581584e-05)}",RF,unified_binary,someip,79.9,500000
0.9473049262832376,0.8903034401777241,0.943240148496026,0.9677965020198801,0.842150442090385,0.8447211748713117,0.9488396161527611,0.0007733320015678512,"[[660266, 511], [41203, 89631]]","{'Normal': np.float64(0.9992266679984322), 'Attack': np.float64(0.6850742161823379)}",ET,unified_binary,tow,90.5,500000
0.9400336327377131,0.48454501864030464,0.9110336549196258,0.47004418539843806,0.4999690314817109,0.06394616026355718,0.5223020376052194,6.193703657824418e-05,"[[678066, 42], [43213, 0]]","{'Normal': np.float64(0.9999380629634218), 'Attack': np.float64(0.0)}",ET,unified_binary,someip,90.5,500000
0.9242418308992675,0.8303655753364896,0.9148452463464357,0.9551257727614891,0.7723849529955544,0.9849061534898117,0.9973663929827059,0.000776358741300015,"[[660264, 513], [59458, 71376]]","{'Normal': np.float64(0.9992236412587), 'Attack': np.float64(0.545546264732409)}",XGB,unified_binary,tow,22.1,500000
0.9400793821336132,0.4845802869110924,0.9110592391278141,0.5155007114580669,0.5000041971354474,0.0694408703447605,0.5488493683242592,1.4746913471010517e-05,"[[678098, 10], [43212, 1]]","{'Normal': np.float64(0.999985253086529), 'Attack': np.float64(2.314118436581584e-05)}",XGB,unified_binary,someip,22.1,500000
0.9219806192688075,0.8238244321802806,0.9118581451536105,0.9545440192842617,0.7652377283571039,0.9933930738079948,0.9989002213690614,0.0006250217546918249,"[[660364, 413], [61348, 69486]]","{'Normal': np.float64(0.9993749782453082), 'Attack': np.float64(0.5311004784688995)}",LGBM,unified_binary,tow,6.8,500000
0.9400433371550253,0.4845937934985898,0.9110439601036885,0.4956867220538018,0.4999958593944444,0.0687328718683077,0.5471511040873618,5.4563579842738913e-05,"[[678071, 37], [43211, 2]]","{'Normal': np.float64(0.9999454364201572), 'Attack': np.float64(4.628236873163168e-05)}",LGBM,unified_binary,someip,6.8,500000
