acc,f1_macro,f1_weighted,precision_macro,recall_macro,pr_auc,roc_auc,fpr,confusion,per_class_recall,model,train_s,test_s,n_train,n_test,size_mb,thr_kmsg_s,task,held_out
0.9660546062782713,0.491367128457844,0.9640047502235046,0.4903267119299052,0.49241196966132267,0.011743875664270717,0.18947637808997134,0.015176060677354665,"[[1318566, 20319], [26013, 0]]","{'Normal': np.float64(0.9848239393226453), 'Attack': np.float64(0.0)}",MLP,99.5,1.64,500000,1364898,0.29,753.5,r3_lofo,gPTP
0.9767757325768205,0.5906518692882389,0.978359612414762,0.5799139448705601,0.6051656194185213,0.20469555288862581,0.2948095465844266,0.013774894781852063,"[[1320442, 18443], [13042, 3767]]","{'Normal': np.float64(0.986225105218148), 'Attack': np.float64(0.22410613361889464)}",LR,23.1,0.77,500000,1355694,0.0,2496.4,r3_lofo,SWITCH
0.9875200450839201,0.49686042036482886,0.9813998792060213,0.4938000891128842,0.4999589210425093,0.1606528959919791,0.9648051743044991,8.21579149814958e-05,"[[1338775, 110], [16809, 0]]","{'Normal': np.float64(0.9999178420850185), 'Attack': np.float64(0.0)}",RF,75.1,9.05,500000,1355694,110.43,69.1,r3_lofo,SWITCH
0.9996452001705399,0.9928571775688947,0.9996476706996137,0.9860902255639098,0.999820372922245,0.9999611036056159,0.9999995595263299,0.0003592541555099953,"[[1338404, 481], [0, 16809]]","{'Normal': np.float64(0.99964074584449), 'Attack': np.float64(1.0)}",XGB,22.2,2.4,500000,1355694,2.38,677.8,r3_lofo,SWITCH
0.999684294538443,0.9936344563982282,0.9996862537066361,0.987584846551024,0.9998401655108542,0.998132112516572,0.9999854198905116,0.0003196689782916382,"[[1338457, 428], [0, 16809]]","{'Normal': np.float64(0.9996803310217084), 'Attack': np.float64(1.0)}",LGBM,6.5,3.24,500000,1355694,2.06,498.0,r3_lofo,SWITCH
0.9997750229771615,0.9954475680932575,0.9997760215417688,0.9910891667640529,0.9998860992542302,0.9774809651874404,0.9999462995367637,0.00022780149153960199,"[[1338580, 305], [0, 16809]]","{'Normal': np.float64(0.9997721985084604), 'Attack': np.float64(1.0)}",VoteEns,80.6,10.71,500000,1355694,91.62,112.4,r3_lofo,SWITCH
0.9807567194366871,0.5115640612939746,0.978410614899463,0.5157088345364446,0.5095468315015206,0.009871779180973072,0.08652426042272982,0.007261265904091837,"[[1329163, 9722], [16366, 443]]","{'Normal': np.float64(0.9927387340959082), 'Attack': np.float64(0.026354928907133084)}",MLP,148.9,1.56,500000,1355694,0.29,757.0,r3_lofo,SWITCH
0.9459414795717533,0.48610993162031174,0.9232273768612894,0.47471109067275263,0.49806966244300294,0.034029014821337134,0.28580415965087297,0.003860675113994107,"[[1333716, 5169], [71050, 0]]","{'Normal': np.float64(0.9961393248860059), 'Attack': np.float64(0.0)}",LR,10.5,0.73,500000,1409935,0.0,1392.3,r3_lofo,UDP-CAN
0.9491246050349839,0.48694916814615274,0.9248212676376736,0.474791627343261,0.49974568390862545,0.04620948580128111,0.1958294534348651,0.0005086321827490785,"[[1338204, 681], [71050, 0]]","{'Normal': np.float64(0.9994913678172509), 'Attack': np.float64(0.0)}",RF,61.8,9.12,500000,1409935,163.45,87.5,r3_lofo,UDP-CAN
0.9495842006901027,0.48707011492705693,0.9250509716038153,0.47480321327297925,0.49998767631275276,0.0332468195078757,0.15873302089095073,2.464737449444874e-05,"[[1338852, 33], [71050, 0]]","{'Normal': np.float64(0.9999753526255055), 'Attack': np.float64(0.0)}",XGB,25.1,2.46,500000,1409935,2.45,694.8,r3_lofo,UDP-CAN
0.9495735619017898,0.48706731587778107,0.9250456556068513,0.4748029452005728,0.49998207463673133,0.03311101522566012,0.13782989968201112,3.5850726537379985e-05,"[[1338837, 48], [71050, 0]]","{'Normal': np.float64(0.9999641492734627), 'Attack': np.float64(0.0)}",LGBM,7.3,3.33,500000,1409935,2.06,574.0,r3_lofo,UDP-CAN
0.9495948394784157,0.4870729139457844,0.9250562875427613,0.4748034813396817,0.49999327798877424,0.032160422631991835,0.13317324236810665,1.3444022451517495e-05,"[[1338867, 18], [71050, 0]]","{'Normal': np.float64(0.9999865559775485), 'Attack': np.float64(0.0)}",VoteEns,75.6,11.22,500000,1409935,134.86,117.9,r3_lofo,UDP-CAN
0.9479564660782235,0.4866415048723972,0.9242369488679684,0.47476213175978804,0.49913061988146856,0.03877925332265913,0.3836140786078531,0.0017387602370629292,"[[1336557, 2328], [71050, 0]]","{'Normal': np.float64(0.9982612397629371), 'Attack': np.float64(0.0)}",MLP,296.8,1.64,500000,1409935,0.29,776.1,r3_lofo,UDP-CAN
0.9576614682895135,0.4891864522042518,0.9477828678711491,0.48419185027747397,0.4942851701229008,0.020052520851373892,0.2904485957620731,0.011429659754198455,"[[1323582, 15303], [43213, 0]]","{'Normal': np.float64(0.9885703402458016), 'Attack': np.float64(0.0)}",LR,16.6,0.83,500000,1382098,0.0,1257.2,r3_lofo,SOMEIP
0.9686389821850548,0.4920348479079347,0.9533015420631753,0.48436540091044145,0.4999510786960792,0.03126261742445788,0.2953241361207987,9.784260784159954e-05,"[[1338754, 131], [43213, 0]]","{'Normal': np.float64(0.9999021573921584), 'Attack': np.float64(0.0)}",RF,30.7,4.27,500000,1382098,8.71,101.4,r3_lofo,SOMEIP
0.9685000629477793,0.4919990002425882,0.9532320883754953,0.48436322845615243,0.49987937724300446,0.02034326377135451,0.29629728061279303,0.00024124551399111948,"[[1338562, 323], [43213, 0]]","{'Normal': np.float64(0.9997587544860089), 'Attack': np.float64(0.0)}",XGB,19.5,2.2,500000,1382098,0.64,827.3,r3_lofo,SOMEIP
0.9686049759134302,0.4920260731658461,0.9532845412852836,0.484364869167535,0.4999335267778786,0.019506957555501653,0.25948783649932405,0.0001329464442427841,"[[1338707, 178], [43213, 0]]","{'Normal': np.float64(0.9998670535557572), 'Attack': np.float64(0.0)}",LGBM,7.4,3.26,500000,1382098,1.31,647.3,r3_lofo,SOMEIP
0.9685912286972415,0.4920225258436349,0.9532776684636763,0.4843646541973701,0.49992643132158476,0.0198584900996277,0.2744388761238005,0.00014713735683049702,"[[1338688, 197], [43213, 0]]","{'Normal': np.float64(0.9998528626431695), 'Attack': np.float64(0.0)}",VoteEns,48.8,8.32,500000,1382098,8.86,123.1,r3_lofo,SOMEIP
0.9655386231656511,0.4912336047666043,0.9517491594922141,0.4843167726659708,0.4983508665792805,0.038412300816335024,0.6176279540033667,0.0032982668414389587,"[[1334469, 4416], [43213, 0]]","{'Normal': np.float64(0.996701733158561), 'Attack': np.float64(0.0)}",MLP,283.5,1.72,500000,1382098,0.29,785.0,r3_lofo,SOMEIP
